Amount (copy),Number of Records,Aiddata Id,Amount,Donor,Recipient,Year
$0.0B,1,86666913,$0.0B,Norway,India,01.01.1992
$0.0B,1,86667148,$0.0B,Sweden,South Africa,01.01.1992
$0.0B,1,86667187,$0.0B,Sweden,South Africa,01.01.1992
$0.0B,1,86668049,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86668166,$0.0B,United Kingdom,India,01.01.1992
$0.0B,1,86668556,$0.0B,United Kingdom,Brazil,01.01.1992
$0.0B,1,86668673,$0.0B,Canada,Brazil,01.01.1992
$0.0B,1,86669882,$0.0B,Japan,Brazil,01.01.1992
$0.0B,1,86671095,$0.0B,France,India,01.01.1993
$0.0B,1,86671368,$0.0B,Italy,Brazil,01.01.1993
$0.0B,1,86671446,$0.0B,Italy,South Africa,01.01.1993
$0.0B,1,86675659,$0.0B,Belgium,Thailand,01.01.1994
$0.0B,1,86675971,$0.0B,Belgium,India,01.01.1994
$0.0B,1,86676010,$0.0B,Belgium,Chile,01.01.1994
$0.0B,1,86677024,$0.0B,Denmark,India,01.01.1994
$0.0B,1,86677300,$0.0B,France,India,01.01.1994
$0.0B,1,86677807,$0.0B,Italy,Brazil,01.01.1994
$0.0B,1,86678002,$0.0B,Netherlands,Colombia,01.01.1994
$0.0B,1,86678392,$0.0B,Netherlands,Colombia,01.01.1994
$0.0B,1,86678704,$0.0B,Netherlands,South Africa,01.01.1994
$0.0B,1,86679757,$0.0B,United Kingdom,South Africa,01.01.1994
$0.0B,1,86679991,$0.0B,United Kingdom,Chile,01.01.1994
$0.0B,1,86680381,$0.0B,Canada,India,01.01.1994
$0.0B,1,86680537,$0.0B,Canada,India,01.01.1994
$0.0B,1,86680576,$0.0B,Canada,India,01.01.1994
$0.0B,1,86681395,$0.0B,United States,Cyprus,01.01.1994
$0.0B,1,86682806,$0.0B,Canada,Latvia,01.01.1994
$0.0B,1,86683664,$0.0B,Sweden,Latvia,01.01.1994
$0.0B,1,86684327,$0.0B,United Kingdom,Czech Republic,01.01.1993
$0.0B,1,86684366,$0.0B,Sweden,Estonia,01.01.1993
$0.0B,1,86684444,$0.0B,United Kingdom,Czech Republic,01.01.1993
$0.1B,1,86684483,$0.1B,Japan,Hungary,01.01.1994
$0.0B,1,86684522,$0.0B,France,Hungary,01.01.1994
$0.0B,1,86684639,$0.0B,France,Czech Republic,01.01.1994
$0.0B,1,86684873,$0.0B,United States,India,01.01.1981
$0.1B,1,86685029,$0.1B,Germany,India,01.01.1977
$0.0B,1,86685146,$0.0B,Germany,Brazil,01.01.1977
$0.0B,1,86685224,$0.0B,Germany,Thailand,01.01.1988
$0.0B,1,86685263,$0.0B,Germany,India,01.01.1985
$0.0B,1,86685731,$0.0B,Germany,Cyprus,01.01.1976
$0.0B,1,86686004,$0.0B,Sweden,South Africa,01.01.1990
$0.0B,1,86686318,$0.0B,Sweden,South Africa,01.01.1990
