"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy","Partner Economy Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","147.9"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","29.1"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","","","","4.6"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","781"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","295.8"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","300.4"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","036","Australia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","","","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","5339.092197"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","909.010123"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","22.773315"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","890.429238"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1375.481922"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","50.909166"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3.386822"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","93.18479"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","73.689501"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","380.948528"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1501.832414"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","36.272454"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","5339.092197"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2141.397598"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2141.397598"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","040","Austria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","931.783438"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","8258.255624"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1494.987632"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2360.273471"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","124.701504"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","45.856083"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","114.86728"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","284.667197"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","168.084174"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","497.336846"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2995.751363"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","49.049177"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","8258.255624"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","4278.293017"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","4278.293017"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","056","Belgium","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1494.987632"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","165.432696"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.298857"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","15.458291"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","20.715459"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.095354"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.217558"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.598058"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","5.668401"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","63.811963"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","45.104288"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","10.464467"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","165.432696"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","126.960089"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","126.960089"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","100","Bulgaria","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.298857"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","522.351566"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","22.20912"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","3.46335"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","27.971375"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","335.268656"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.306186"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0.564176"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1.182355"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.405815"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","15.836065"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","105.879372"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6.802848"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","522.351566"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","133.439065"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","133.439065"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","191","Croatia","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX4","Goods-related services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","25.672471"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","229.316777"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","153.186776"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","58.632969"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","5.579034"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX","Commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","229.316777"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SOX1","Other commercial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","17.497032"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","196","Cyprus","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SPX1","Memo item: Other services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","17.497032"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","S","Memo item: Total services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","1434.996117"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SA","Manufacturing services on physical inputs owned by others","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","409.650474"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SB","Maintenance and repair services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","57.274043"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SC","Transport","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","161.379632"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SD","Travel","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","63.520264"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SE","Construction","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","22.239885"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SF","Insurance and pension services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.257925"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SG","Financial services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","6.217709"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SH","Charges for the use of intellectual property n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","111.695272"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SI","Telecommunications, computer, and information services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","184.615899"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SJ","Other business services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","413.431579"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SK","Personal, cultural, and recreational services","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","2.491712"
"Trade in commercial services","ITS_CS_AX6","Commercial services exports by sector and partner – annual (2005-onwards)","203","Czech Republic","756","Switzerland","BOP6","Services - Extended Balance of Payments Classification (EBOPS 2010)","SL","Memo item: Government goods and services n.i.e.","A","Annual","A","Annual","USM","Million US dollar","2017","E","Estimate","","0"
